#SampleID	BioSample_s	Experiment_s	Library_Name_s	MBases_l	MBytes_l	Ph_s	Replicate_s	Run_s	SRA_Sample_s	Salinity_s	Sample_Name_s	Substrate_s	isolation_source_s	misc_param_s	temperature_s	Assay_Type_s	AvgSpotLen_l	BioProject_s	BioSampleModel_s	Consent_s	InsertSize_l	Instrument_s	LibraryLayout_s	LibrarySelection_s	LibrarySource_s	LoadDate_s	Organism_s	Platform_s	ReleaseDate_s	SRA_Study_s	collection_date_s	geo_loc_name_s	host_s	lat_lon_s
SRR4938544	SAMN05936331	SRX2328470	BB036	21	13	7.4	4	SRR4938544	SRS1783862	33.44	BB036	root	root	intrazoneLocation:edge	16.2	AMPLICON	500	PRJNA350006	Metagenome or environmental	public	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	11/4/16	plant metagenome	ILLUMINA	11/9/16	SRP092613	2013	USA:California:Bodega Harbor	Zostera marina	38.32 N 123.05 W
SRR4938545	SAMN05936347	SRX2328471	BB052	35	23	8.53	3	SRR4938545	SRS1783863	33.66	BB052	leaf	leaf	intrazoneLocation:far	15.9	AMPLICON	500	PRJNA350006	Metagenome or environmental	public	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	11/4/16	plant metagenome	ILLUMINA	11/9/16	SRP092613	2013	USA:California:Bodega Harbor	Zostera marina	38.32 N 123.05 W
SRR4938546	SAMN05936352	SRX2328472	BB057	65	42	8.95	2	SRR4938546	SRS1783864	33.67	BB057	leaf	leaf	intrazoneLocation:near	16	AMPLICON	500	PRJNA350006	Metagenome or environmental	public	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	11/4/16	plant metagenome	ILLUMINA	11/9/16	SRP092613	2013	USA:California:Bodega Harbor	Zostera marina	38.32 N 123.05 W
SRR4938547	SAMN05936344	SRX2328473	BB049	19	12	8.62	3	SRR4938547	SRS1783865	33.67	BB049	soil	soil	intrazoneLocation:inter	15.9	AMPLICON	500	PRJNA350006	Metagenome or environmental	public	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	11/4/16	plant metagenome	ILLUMINA	11/9/16	SRP092613	2013	USA:California:Bodega Harbor	Zostera marina	38.32 N 123.05 W
SRR4938548	SAMN05936358	SRX2328474	BB063	66	42	8.89	2	SRR4938548	SRS1783866	33.68	BB063	leaf	leaf	intrazoneLocation:inter	16	AMPLICON	500	PRJNA350006	Metagenome or environmental	public	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	11/4/16	plant metagenome	ILLUMINA	11/9/16	SRP092613	2013	USA:California:Bodega Harbor	Zostera marina	38.32 N 123.05 W
SRR4938549	SAMN05936307	SRX2328475	BB012	14	9	6.44	4	SRR4938549	SRS1783867	33.53	BB012	soil	soil	intrazoneLocation:inside	16.3	AMPLICON	500	PRJNA350006	Metagenome or environmental	public	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	11/4/16	plant metagenome	ILLUMINA	11/9/16	SRP092613	2013	USA:California:Bodega Harbor	Zostera marina	38.32 N 123.05 W
SRR4938550	SAMN05936348	SRX2328476	BB053	61	40	8.41	1	SRR4938550	SRS1783868	33.66	BB053	root	root	intrazoneLocation:far	15.9	AMPLICON	500	PRJNA350006	Metagenome or environmental	public	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	11/4/16	plant metagenome	ILLUMINA	11/9/16	SRP092613	2013	USA:California:Bodega Harbor	Zostera marina	38.32 N 123.05 W
SRR4938551	SAMN05936368	SRX2328477	BB073	92	60	8.83	3	SRR4938551	SRS1783869	33.66	BB073	water	water	intrazoneLocation:near	16	AMPLICON	500	PRJNA350006	Metagenome or environmental	public	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	11/4/16	plant metagenome	ILLUMINA	11/9/16	SRP092613	2013	USA:California:Bodega Harbor	Zostera marina	38.32 N 123.05 W
SRR4938552	SAMN05936338	SRX2328478	BB043	35	23	8.53	3	SRR4938552	SRS1783870	33.66	BB043	soil	soil	intrazoneLocation:far	15.9	AMPLICON	500	PRJNA350006	Metagenome or environmental	public	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	11/4/16	plant metagenome	ILLUMINA	11/9/16	SRP092613	2013	USA:California:Bodega Harbor	Zostera marina	38.32 N 123.05 W
SRR4938553	SAMN05936346	SRX2328479	BB051	76	49	8.62	2	SRR4938553	SRS1783871	33.67	BB051	leaf	leaf	intrazoneLocation:far	15.9	AMPLICON	500	PRJNA350006	Metagenome or environmental	public	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	11/4/16	plant metagenome	ILLUMINA	11/9/16	SRP092613	2013	USA:California:Bodega Harbor	Zostera marina	38.32 N 123.05 W
