#SampleID	AvgSpotLen_l	BioSample_s	Experiment_s	Library_Name_s	region	LoadDate_s	MBases_l	MBytes_l	ReleaseDate_s	Run_s	SRA_Sample_s	Sample_Name_s	collection_date_s	isolation_source_s	lat_lon_s	misc_param_s	Assay_Type_s	BioProject_s	BioSampleModel_s	Consent_s	InsertSize_l	Instrument_s	LibraryLayout_s	LibrarySelection_s	LibrarySource_s	Organism_s	Platform_s	SRA_Study_s	geo_loc_name_s	host_s
SRR5380368	250	SAMN06566671	SRX2675596	ORS1.1	OR	3/27/17	0	0	3/27/17	SRR5380368	SRS2073939	ORS1.1	2014-08-09T04:45:00	Sediment	44.6127333333333 N 124.014133333333 W	ZenSite:OR	AMPLICON	PRJNA379026	Metagenome or environmental	public	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	plant metagenome	ILLUMINA	SRP102519	missing	Zostera marina
SRR5380369	250	SAMN06566681	SRX2675597	ORR2.6	OR	3/27/17	0	0	3/27/17	SRR5380369	SRS2073941	ORR2.6	2014-08-09T05:38:00	Roots	43.34625 N 124.318283333333 W	ZenSite:OR	AMPLICON	PRJNA379026	Metagenome or environmental	public	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	plant metagenome	ILLUMINA	SRP102519	missing	Zostera marina
SRR5380370	250	SAMN06566682	SRX2675598	ORR2.20	OR	3/27/17	0	0	3/27/17	SRR5380370	SRS2073940	ORR2.20	2014-08-09T05:38:00	Roots	43.34625 N 124.318283333333 W	ZenSite:OR	AMPLICON	PRJNA379026	Metagenome or environmental	public	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	plant metagenome	ILLUMINA	SRP102519	missing	Zostera marina
SRR5380371	250	SAMN06566680	SRX2675599	ORR2.1	OR	3/27/17	0	0	3/27/17	SRR5380371	SRS2073942	ORR2.1	2014-08-09T05:38:00	Roots	43.34625 N 124.318283333333 W	ZenSite:OR	AMPLICON	PRJNA379026	Metagenome or environmental	public	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	plant metagenome	ILLUMINA	SRP102519	missing	Zostera marina
SRR5380372	250	SAMN06566669	SRX2675600	ORR1.6	OR	3/27/17	0	0	3/27/17	SRR5380372	SRS2073943	ORR1.6	2014-08-09T04:45:00	Roots	44.6127333333333 N 124.014133333333 W	ZenSite:OR	AMPLICON	PRJNA379026	Metagenome or environmental	public	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	plant metagenome	ILLUMINA	SRP102519	missing	Zostera marina
SRR5380373	250	SAMN06566670	SRX2675601	ORR1.20	OR	3/27/17	0	0	3/27/17	SRR5380373	SRS2073944	ORR1.20	2014-08-09T04:45:00	Roots	44.6127333333333 N 124.014133333333 W	ZenSite:OR	AMPLICON	PRJNA379026	Metagenome or environmental	public	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	plant metagenome	ILLUMINA	SRP102519	missing	Zostera marina
SRR5380374	250	SAMN06566668	SRX2675602	ORR1.1	OR	3/27/17	0	0	3/27/17	SRR5380374	SRS2073945	ORR1.1	2014-08-09T04:45:00	Roots	44.6127333333333 N 124.014133333333 W	ZenSite:OR	AMPLICON	PRJNA379026	Metagenome or environmental	public	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	plant metagenome	ILLUMINA	SRP102519	missing	Zostera marina
SRR5380376	250	SAMN06566678	SRX2675603	ORL2.6	OR	3/27/17	0	0	3/27/17	SRR5380376	SRS2073947	ORL2.6	2014-08-09T05:38:00	Leaf	43.34625 N 124.318283333333 W	ZenSite:OR	AMPLICON	PRJNA379026	Metagenome or environmental	public	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	plant metagenome	ILLUMINA	SRP102519	missing	Zostera marina
SRR5380377	250	SAMN06566679	SRX2675604	ORL2.20	OR	3/27/17	0	0	3/27/17	SRR5380377	SRS2073948	ORL2.20	2014-08-09T05:38:00	Leaf	43.34625 N 124.318283333333 W	ZenSite:OR	AMPLICON	PRJNA379026	Metagenome or environmental	public	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	plant metagenome	ILLUMINA	SRP102519	missing	Zostera marina
SRR5380378	250	SAMN06566677	SRX2675605	ORL2.1	OR	3/27/17	0	0	3/27/17	SRR5380378	SRS2073946	ORL2.1	2014-08-09T05:38:00	Leaf	43.34625 N 124.318283333333 W	ZenSite:OR	AMPLICON	PRJNA379026	Metagenome or environmental	public	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	plant metagenome	ILLUMINA	SRP102519	missing	Zostera marina
SRR5380379	250	SAMN06566666	SRX2675606	ORL1.6	OR	3/27/17	0	0	3/27/17	SRR5380379	SRS2073949	ORL1.6	2014-08-09T04:45:00	Leaf	44.6127333333333 N 124.014133333333 W	ZenSite:OR	AMPLICON	PRJNA379026	Metagenome or environmental	public	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	plant metagenome	ILLUMINA	SRP102519	missing	Zostera marina
SRR5380380	250	SAMN06566667	SRX2675607	ORL1.20	OR	3/27/17	0	0	3/27/17	SRR5380380	SRS2073950	ORL1.20	2014-08-09T04:45:00	Leaf	44.6127333333333 N 124.014133333333 W	ZenSite:OR	AMPLICON	PRJNA379026	Metagenome or environmental	public	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	plant metagenome	ILLUMINA	SRP102519	missing	Zostera marina
SRR5380381	250	SAMN06566665	SRX2675608	ORL1.1	OR	3/27/17	0	0	3/27/17	SRR5380381	SRS2073951	ORL1.1	2014-08-09T04:45:00	Leaf	44.6127333333333 N 124.014133333333 W	ZenSite:OR	AMPLICON	PRJNA379026	Metagenome or environmental	public	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	plant metagenome	ILLUMINA	SRP102519	missing	Zostera marina
SRR5380383	250	SAMN06566899	SRX2675610	NOPNA.JSW1.20	NO	3/27/17	0	0	3/27/17	SRR5380383	SRS2073954	NOPNA.JSW1.20	missing	Water	34.297834 N 132.91631 E	ZenSite:JS	AMPLICON	PRJNA379026	Metagenome or environmental	public	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	plant metagenome	ILLUMINA	SRP102519	missing	Zostera marina
SRR5380385	250	SAMN06566907	SRX2675612	NOPNA.JSS2.6	NO	3/27/17	0	0	3/27/17	SRR5380385	SRS2073955	NOPNA.JSS2.6	missing	Sediment	34.274018 N 132.26617 E	ZenSite:JS	AMPLICON	PRJNA379026	Metagenome or environmental	public	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	plant metagenome	ILLUMINA	SRP102519	missing	Zostera marina
SRR5380386	250	SAMN06566906	SRX2675613	NOPNA.JSS2.1	NO	3/27/17	0	0	3/27/17	SRR5380386	SRS2073956	NOPNA.JSS2.1	missing	Sediment	34.274018 N 132.26617 E	ZenSite:JS	AMPLICON	PRJNA379026	Metagenome or environmental	public	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	plant metagenome	ILLUMINA	SRP102519	missing	Zostera marina
SRR5380387	250	SAMN06566895	SRX2675614	NOPNA.JSS1.6	NO	3/27/17	0	0	3/27/17	SRR5380387	SRS2073957	NOPNA.JSS1.6	missing	Sediment	34.297834 N 132.91631 E	ZenSite:JS	AMPLICON	PRJNA379026	Metagenome or environmental	public	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	plant metagenome	ILLUMINA	SRP102519	missing	Zostera marina
SRR5380389	250	SAMN06566894	SRX2675616	NOPNA.JSS1.1	NO	3/27/17	0	0	3/27/17	SRR5380389	SRS2073959	NOPNA.JSS1.1	missing	Sediment	34.297834 N 132.91631 E	ZenSite:JS	AMPLICON	PRJNA379026	Metagenome or environmental	public	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	plant metagenome	ILLUMINA	SRP102519	missing	Zostera marina
SRR5380391	250	SAMN06566905	SRX2675618	NOPNA.JSR2.20	NO	3/27/17	0	0	3/27/17	SRR5380391	SRS2073961	NOPNA.JSR2.20	missing	Roots	34.274018 N 132.26617 E	ZenSite:JS	AMPLICON	PRJNA379026	Metagenome or environmental	public	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	plant metagenome	ILLUMINA	SRP102519	missing	Zostera marina
SRR5380392	250	SAMN06566903	SRX2675619	NOPNA.JSR2.1	NO	3/27/17	0	0	3/27/17	SRR5380392	SRS2073962	NOPNA.JSR2.1	missing	Roots	34.274018 N 132.26617 E	ZenSite:JS	AMPLICON	PRJNA379026	Metagenome or environmental	public	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	plant metagenome	ILLUMINA	SRP102519	missing	Zostera marina
SRR5380393	250	SAMN06566892	SRX2675620	NOPNA.JSR1.6	NO	3/27/17	0	0	3/27/17	SRR5380393	SRS2073963	NOPNA.JSR1.6	missing	Roots	34.297834 N 132.91631 E	ZenSite:JS	AMPLICON	PRJNA379026	Metagenome or environmental	public	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	plant metagenome	ILLUMINA	SRP102519	missing	Zostera marina
SRR5380394	250	SAMN06566893	SRX2675621	NOPNA.JSR1.20	NO	3/27/17	0	0	3/27/17	SRR5380394	SRS2073964	NOPNA.JSR1.20	missing	Roots	34.297834 N 132.91631 E	ZenSite:JS	AMPLICON	PRJNA379026	Metagenome or environmental	public	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	plant metagenome	ILLUMINA	SRP102519	missing	Zostera marina
SRR5380395	250	SAMN06566901	SRX2675622	NOPNA.JSL2.6	NO	3/27/17	0	0	3/27/17	SRR5380395	SRS2073966	NOPNA.JSL2.6	missing	Leaf	34.274018 N 132.26617 E	ZenSite:JS	AMPLICON	PRJNA379026	Metagenome or environmental	public	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	plant metagenome	ILLUMINA	SRP102519	missing	Zostera marina
SRR5380396	250	SAMN06566902	SRX2675623	NOPNA.JSL2.20	NO	3/27/17	0	0	3/27/17	SRR5380396	SRS2073965	NOPNA.JSL2.20	missing	Leaf	34.274018 N 132.26617 E	ZenSite:JS	AMPLICON	PRJNA379026	Metagenome or environmental	public	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	plant metagenome	ILLUMINA	SRP102519	missing	Zostera marina
SRR5380397	250	SAMN06566900	SRX2675624	NOPNA.JSL2.1	NO	3/27/17	0	0	3/27/17	SRR5380397	SRS2073967	NOPNA.JSL2.1	missing	Leaf	34.274018 N 132.26617 E	ZenSite:JS	AMPLICON	PRJNA379026	Metagenome or environmental	public	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	plant metagenome	ILLUMINA	SRP102519	missing	Zostera marina
SRR5380398	250	SAMN06566510	SRX2675625	NCW2.6	NC	3/27/17	0	0	3/27/17	SRR5380398	SRS2073968	NCW2.6	2014-05-24T11:40:00	Water	34.670544 N 76.574561 W	ZenSite:NC	AMPLICON	PRJNA379026	Metagenome or environmental	public	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	plant metagenome	ILLUMINA	SRP102519	missing	Zostera marina
SRR5380399	250	SAMN06566511	SRX2675626	NCW2.20	NC	3/27/17	0	0	3/27/17	SRR5380399	SRS2073969	NCW2.20	2014-05-24T11:40:00	Water	34.670544 N 76.574561 W	ZenSite:NC	AMPLICON	PRJNA379026	Metagenome or environmental	public	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	plant metagenome	ILLUMINA	SRP102519	missing	Zostera marina
SRR5380400	250	SAMN06566509	SRX2675627	NCW2.1	NC	3/27/17	0	0	3/27/17	SRR5380400	SRS2073970	NCW2.1	2014-05-24T11:40:00	Water	34.670544 N 76.574561 W	ZenSite:NC	AMPLICON	PRJNA379026	Metagenome or environmental	public	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	plant metagenome	ILLUMINA	SRP102519	missing	Zostera marina
SRR5380401	250	SAMN06566498	SRX2675628	NCW1.6	NC	3/27/17	0	0	3/27/17	SRR5380401	SRS2073971	NCW1.6	2014-05-24T11:40:00	Water	34.692458 N 76.622589 W	ZenSite:NC	AMPLICON	PRJNA379026	Metagenome or environmental	public	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	plant metagenome	ILLUMINA	SRP102519	missing	Zostera marina
SRR5380402	250	SAMN06566499	SRX2675629	NCW1.20	NC	3/27/17	0	0	3/27/17	SRR5380402	SRS2073973	NCW1.20	2014-05-24T11:40:00	Water	34.692458 N 76.622589 W	ZenSite:NC	AMPLICON	PRJNA379026	Metagenome or environmental	public	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	plant metagenome	ILLUMINA	SRP102519	missing	Zostera marina
SRR5380403	250	SAMN06566497	SRX2675630	NCW1.1	NC	3/27/17	0	0	3/27/17	SRR5380403	SRS2073972	NCW1.1	2014-05-24T11:40:00	Water	34.692458 N 76.622589 W	ZenSite:NC	AMPLICON	PRJNA379026	Metagenome or environmental	public	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	plant metagenome	ILLUMINA	SRP102519	missing	Zostera marina
SRR5380404	250	SAMN06566507	SRX2675631	NCS2.6	NC	3/27/17	0	0	3/27/17	SRR5380404	SRS2073975	NCS2.6	2014-05-24T11:40:00	Sediment	34.670544 N 76.574561 W	ZenSite:NC	AMPLICON	PRJNA379026	Metagenome or environmental	public	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	plant metagenome	ILLUMINA	SRP102519	missing	Zostera marina
SRR5380405	250	SAMN06566508	SRX2675632	NCS2.20	NC	3/27/17	0	0	3/27/17	SRR5380405	SRS2073974	NCS2.20	2014-05-24T11:40:00	Sediment	34.670544 N 76.574561 W	ZenSite:NC	AMPLICON	PRJNA379026	Metagenome or environmental	public	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	plant metagenome	ILLUMINA	SRP102519	missing	Zostera marina
SRR5380407	250	SAMN06566495	SRX2675634	NCS1.6	NC	3/27/17	0	0	3/27/17	SRR5380407	SRS2073977	NCS1.6	2014-05-24T11:40:00	Sediment	34.692458 N 76.622589 W	ZenSite:NC	AMPLICON	PRJNA379026	Metagenome or environmental	public	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	plant metagenome	ILLUMINA	SRP102519	missing	Zostera marina
SRR5380408	250	SAMN06566496	SRX2675635	NCS1.20	NC	3/27/17	0	0	3/27/17	SRR5380408	SRS2073979	NCS1.20	2014-05-24T11:40:00	Sediment	34.692458 N 76.622589 W	ZenSite:NC	AMPLICON	PRJNA379026	Metagenome or environmental	public	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	plant metagenome	ILLUMINA	SRP102519	missing	Zostera marina
SRR5380409	250	SAMN06566494	SRX2675636	NCS1.1	NC	3/27/17	0	0	3/27/17	SRR5380409	SRS2073978	NCS1.1	2014-05-24T11:40:00	Sediment	34.692458 N 76.622589 W	ZenSite:NC	AMPLICON	PRJNA379026	Metagenome or environmental	public	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	plant metagenome	ILLUMINA	SRP102519	missing	Zostera marina
SRR5380410	250	SAMN06566504	SRX2675637	NCR2.6	NC	3/27/17	0	0	3/27/17	SRR5380410	SRS2073980	NCR2.6	2014-05-24T11:40:00	Roots	34.670544 N 76.574561 W	ZenSite:NC	AMPLICON	PRJNA379026	Metagenome or environmental	public	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	plant metagenome	ILLUMINA	SRP102519	missing	Zostera marina
SRR5380411	500	SAMN06566505	SRX2675638	NCR2.20	NC	4/1/17	0	0	4/3/17	SRR5380411	SRS2073981	NCR2.20	2014-05-24T11:40:00	Roots	34.670544 N 76.574561 W	ZenSite:NC	AMPLICON	PRJNA379026	Metagenome or environmental	public	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	plant metagenome	ILLUMINA	SRP102519	missing	Zostera marina
SRR5380412	250	SAMN06566503	SRX2675639	NCR2.1	NC	3/27/17	0	0	3/27/17	SRR5380412	SRS2073983	NCR2.1	2014-05-24T11:40:00	Roots	34.670544 N 76.574561 W	ZenSite:NC	AMPLICON	PRJNA379026	Metagenome or environmental	public	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	plant metagenome	ILLUMINA	SRP102519	missing	Zostera marina
SRR5380413	250	SAMN06566492	SRX2675640	NCR1.6	NC	3/27/17	0	0	3/27/17	SRR5380413	SRS2073982	NCR1.6	2014-05-24T11:40:00	Roots	34.692458 N 76.622589 W	ZenSite:NC	AMPLICON	PRJNA379026	Metagenome or environmental	public	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	plant metagenome	ILLUMINA	SRP102519	missing	Zostera marina
SRR5380414	250	SAMN06566493	SRX2675641	NCR1.20	NC	3/27/17	0	0	3/27/17	SRR5380414	SRS2073984	NCR1.20	2014-05-24T11:40:00	Roots	34.692458 N 76.622589 W	ZenSite:NC	AMPLICON	PRJNA379026	Metagenome or environmental	public	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	plant metagenome	ILLUMINA	SRP102519	missing	Zostera marina
SRR5380415	250	SAMN06566491	SRX2675642	NCR1.1	NC	3/27/17	0	0	3/27/17	SRR5380415	SRS2073985	NCR1.1	2014-05-24T11:40:00	Roots	34.692458 N 76.622589 W	ZenSite:NC	AMPLICON	PRJNA379026	Metagenome or environmental	public	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	plant metagenome	ILLUMINA	SRP102519	missing	Zostera marina
SRR5380416	250	SAMN06566501	SRX2675643	NCL2.6	NC	3/27/17	12	7	3/27/17	SRR5380416	SRS2073986	NCL2.6	2014-05-24T11:40:00	Leaf	34.670544 N 76.574561 W	ZenSite:NC	AMPLICON	PRJNA379026	Metagenome or environmental	public	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	plant metagenome	ILLUMINA	SRP102519	missing	Zostera marina
SRR5380417	250	SAMN06566502	SRX2675644	NCL2.20	NC	3/27/17	7	4	3/27/17	SRR5380417	SRS2073988	NCL2.20	2014-05-24T11:40:00	Leaf	34.670544 N 76.574561 W	ZenSite:NC	AMPLICON	PRJNA379026	Metagenome or environmental	public	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	plant metagenome	ILLUMINA	SRP102519	missing	Zostera marina
SRR5380418	250	SAMN06566500	SRX2675645	NCL2.1	NC	3/27/17	0	0	3/27/17	SRR5380418	SRS2073987	NCL2.1	2014-05-24T11:40:00	Leaf	34.670544 N 76.574561 W	ZenSite:NC	AMPLICON	PRJNA379026	Metagenome or environmental	public	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	plant metagenome	ILLUMINA	SRP102519	missing	Zostera marina
SRR5380419	250	SAMN06566489	SRX2675646	NCL1.6	NC	3/27/17	0	0	3/27/17	SRR5380419	SRS2073989	NCL1.6	2014-05-24T11:40:00	Leaf	34.692458 N 76.622589 W	ZenSite:NC	AMPLICON	PRJNA379026	Metagenome or environmental	public	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	plant metagenome	ILLUMINA	SRP102519	missing	Zostera marina
SRR5380420	250	SAMN06566490	SRX2675647	NCL1.20	NC	3/27/17	3	2	3/27/17	SRR5380420	SRS2073990	NCL1.20	2014-05-24T11:40:00	Leaf	34.692458 N 76.622589 W	ZenSite:NC	AMPLICON	PRJNA379026	Metagenome or environmental	public	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	plant metagenome	ILLUMINA	SRP102519	missing	Zostera marina
SRR5380421	250	SAMN06566488	SRX2675648	NCL1.1	NC	3/27/17	22	14	3/27/17	SRR5380421	SRS2073991	NCL1.1	2014-05-24T11:40:00	Leaf	34.692458 N 76.622589 W	ZenSite:NC	AMPLICON	PRJNA379026	Metagenome or environmental	public	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	plant metagenome	ILLUMINA	SRP102519	missing	Zostera marina
SRR5380422	250	SAMN06566735	SRX2675649	MXW2.6	MX	3/27/17	11	6	3/27/17	SRR5380422	SRS2073992	MXW2.6	2014-07-15T08:00:00	Water	31.7584722 N 116.6227778 W	ZenSite:MX	AMPLICON	PRJNA379026	Metagenome or environmental	public	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	plant metagenome	ILLUMINA	SRP102519	missing	Zostera marina
SRR5380423	250	SAMN06566736	SRX2675650	MXW2.20	MX	3/27/17	9	5	3/27/17	SRR5380423	SRS2073994	MXW2.20	2014-07-15T08:00:00	Water	31.7584722 N 116.6227778 W	ZenSite:MX	AMPLICON	PRJNA379026	Metagenome or environmental	public	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	plant metagenome	ILLUMINA	SRP102519	missing	Zostera marina
SRR5380424	250	SAMN06566734	SRX2675651	MXW2.1	MX	3/27/17	8	5	3/27/17	SRR5380424	SRS2073993	MXW2.1	2014-07-15T08:00:00	Water	31.7584722 N 116.6227778 W	ZenSite:MX	AMPLICON	PRJNA379026	Metagenome or environmental	public	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	plant metagenome	ILLUMINA	SRP102519	missing	Zostera marina
SRR5380425	250	SAMN06566723	SRX2675652	MXW1.6	MX	3/27/17	3	1	3/27/17	SRR5380425	SRS2073995	MXW1.6	2014-06-15T03:20:00	Water	30.419675 N 115.9641889 W	ZenSite:MX	AMPLICON	PRJNA379026	Metagenome or environmental	public	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	plant metagenome	ILLUMINA	SRP102519	missing	Zostera marina
SRR5380426	250	SAMN06566724	SRX2675653	MXW1.20	MX	3/27/17	0	0	3/27/17	SRR5380426	SRS2073996	MXW1.20	2014-06-15T03:20:00	Water	30.419675 N 115.9641889 W	ZenSite:MX	AMPLICON	PRJNA379026	Metagenome or environmental	public	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	plant metagenome	ILLUMINA	SRP102519	missing	Zostera marina
SRR5380427	250	SAMN06566722	SRX2675654	MXW1.1	MX	3/27/17	8	5	3/27/17	SRR5380427	SRS2073997	MXW1.1	2014-06-15T03:20:00	water	30.419675 N 115.9641889 W	ZenSite:MX	AMPLICON	PRJNA379026	Metagenome or environmental	public	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	plant metagenome	ILLUMINA	SRP102519	missing	Zostera marina
SRR5380428	250	SAMN06566732	SRX2675655	MXS2.6	MX	3/27/17	0	0	3/27/17	SRR5380428	SRS2073998	MXS2.6	2014-07-15T08:00:00	Sediment	31.7584722 N 116.6227778 W	ZenSite:MX	AMPLICON	PRJNA379026	Metagenome or environmental	public	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	plant metagenome	ILLUMINA	SRP102519	missing	Zostera marina
SRR5380430	250	SAMN06566731	SRX2675657	MXS2.1	MX	3/27/17	0	0	3/27/17	SRR5380430	SRS2074000	MXS2.1	2014-07-15T08:00:00	Sediment	31.7584722 N 116.6227778 W	ZenSite:MX	AMPLICON	PRJNA379026	Metagenome or environmental	public	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	plant metagenome	ILLUMINA	SRP102519	missing	Zostera marina
SRR5380431	250	SAMN06566720	SRX2675658	MXS1.6	MX	3/27/17	0	0	3/27/17	SRR5380431	SRS2074002	MXS1.6	2014-06-15T03:20:00	Sediment	30.419675 N 115.9641889 W	ZenSite:MX	AMPLICON	PRJNA379026	Metagenome or environmental	public	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	plant metagenome	ILLUMINA	SRP102519	missing	Zostera marina
SRR5380432	250	SAMN06566721	SRX2675659	MXS1.20	MX	3/27/17	605	358	3/27/17	SRR5380432	SRS2074001	MXS1.20	2014-06-15T03:20:00	Sediment	30.419675 N 115.9641889 W	ZenSite:MX	AMPLICON	PRJNA379026	Metagenome or environmental	public	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	plant metagenome	ILLUMINA	SRP102519	missing	Zostera marina
SRR5380433	250	SAMN06566719	SRX2675660	MXS1.1	MX	3/27/17	0	0	3/27/17	SRR5380433	SRS2074003	MXS1.1	2014-06-15T03:20:00	Sediment	30.419675 N 115.9641889 W	ZenSite:MX	AMPLICON	PRJNA379026	Metagenome or environmental	public	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	plant metagenome	ILLUMINA	SRP102519	missing	Zostera marina
SRR5380434	250	SAMN06566729	SRX2675661	MXR2.6	MX	3/27/17	0	0	3/27/17	SRR5380434	SRS2074005	MXR2.6	2014-07-15T08:00:00	Roots	31.7584722 N 116.6227778 W	ZenSite:MX	AMPLICON	PRJNA379026	Metagenome or environmental	public	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	plant metagenome	ILLUMINA	SRP102519	missing	Zostera marina
SRR5380435	250	SAMN06566730	SRX2675662	MXR2.20	MX	3/27/17	0	0	3/27/17	SRR5380435	SRS2074004	MXR2.20	2014-07-15T08:00:00	Roots	31.7584722 N 116.6227778 W	ZenSite:MX	AMPLICON	PRJNA379026	Metagenome or environmental	public	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	plant metagenome	ILLUMINA	SRP102519	missing	Zostera marina
SRR5380436	250	SAMN06566728	SRX2675663	MXR2.1	MX	3/27/17	0	0	3/27/17	SRR5380436	SRS2074006	MXR2.1	2014-07-15T08:00:00	Roots	31.7584722 N 116.6227778 W	ZenSite:MX	AMPLICON	PRJNA379026	Metagenome or environmental	public	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	plant metagenome	ILLUMINA	SRP102519	missing	Zostera marina
SRR5380437	250	SAMN06566717	SRX2675664	MXR1.6	MX	3/27/17	0	0	3/27/17	SRR5380437	SRS2074008	MXR1.6	2014-06-15T03:20:00	Roots	30.419675 N 115.9641889 W	ZenSite:MX	AMPLICON	PRJNA379026	Metagenome or environmental	public	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	plant metagenome	ILLUMINA	SRP102519	missing	Zostera marina
SRR5380438	250	SAMN06566718	SRX2675665	MXR1.20	MX	3/27/17	1	0	3/27/17	SRR5380438	SRS2074007	MXR1.20	2014-06-15T03:20:00	Roots	30.419675 N 115.9641889 W	ZenSite:MX	AMPLICON	PRJNA379026	Metagenome or environmental	public	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	plant metagenome	ILLUMINA	SRP102519	missing	Zostera marina
SRR5380439	250	SAMN06566716	SRX2675666	MXR1.1	MX	3/27/17	0	0	3/27/17	SRR5380439	SRS2074009	MXR1.1	2014-06-15T03:20:00	Roots	30.419675 N 115.9641889 W	ZenSite:MX	AMPLICON	PRJNA379026	Metagenome or environmental	public	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	plant metagenome	ILLUMINA	SRP102519	missing	Zostera marina
SRR5380440	250	SAMN06566726	SRX2675667	MXL2.6	MX	3/27/17	0	0	3/27/17	SRR5380440	SRS2074010	MXL2.6	2014-07-15T08:00:00	Leaf	31.7584722 N 116.6227778 W	ZenSite:MX	AMPLICON	PRJNA379026	Metagenome or environmental	public	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	plant metagenome	ILLUMINA	SRP102519	missing	Zostera marina
SRR5380441	250	SAMN06566727	SRX2675668	MXL2.20	MX	3/27/17	0	0	3/27/17	SRR5380441	SRS2074011	MXL2.20	2014-07-15T08:00:00	Leaf	31.7584722 N 116.6227778 W	ZenSite:MX	AMPLICON	PRJNA379026	Metagenome or environmental	public	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	plant metagenome	ILLUMINA	SRP102519	missing	Zostera marina
SRR5380442	250	SAMN06566725	SRX2675669	MXL2.1	MX	3/27/17	4	2	3/27/17	SRR5380442	SRS2074012	MXL2.1	2014-07-15T08:00:00	Leaf	31.7584722 N 116.6227778 W	ZenSite:MX	AMPLICON	PRJNA379026	Metagenome or environmental	public	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	plant metagenome	ILLUMINA	SRP102519	missing	Zostera marina
